regiao,setor,vab,empregos,empresas,share_nacional
Porto Velho,Agropecuária,1669.5258039999999,31585.63108964614,1263,0.0028252665120437168
Porto Velho,Indústria,4838.241877,105058.73937195342,8657,0.0024260220861682395
Porto Velho,Construção,725.7362815500001,12620.389345395784,993,0.0024260220861682395
Porto Velho,Serviços,13101.217970000002,317262.7859963046,7815,0.0025556402182153977
Ariquemes,Agropecuária,1637.191623,38709.21622650917,1083,0.002770548772099363
Ariquemes,Indústria,559.623358,10952.049615824999,621,0.00028060991181479855
Ariquemes,Construção,83.94350370000001,1424.4576493582008,143,0.00028060991181479855
Ariquemes,Serviços,3598.239351,86637.11493613508,3594,0.000701904603162699
Jaru,Agropecuária,1012.774949,22034.213417898976,1012,0.001713875365562474
Jaru,Indústria,229.767179,5725.838547499997,247,0.00011521132367946126
Jaru,Construção,34.465076849999996,569.764490606242,55,0.00011521132367946125
Jaru,Serviços,1814.380477,41701.75148802082,1489,0.0003539292093898379
Ji-ParanA,Agropecuária,2044.518694,43463.82105180116,3538,0.0034598508064781945
Ji-ParanA,Indústria,788.17118,16702.37629993461,797,0.0003952098177338154
Ji-ParanA,Construção,118.225677,2180.3511295781495,182,0.0003952098177338154
Ji-ParanA,Serviços,5278.191647,81338.02643740339,6128,0.0010296110547439253
Cacoal,Agropecuária,2466.894709,42634.87338294305,3651,0.004174619519732521
Cacoal,Indústria,791.968694,15751.919967599742,761,0.00039711399141316965
Cacoal,Construção,118.7953041,1889.17086220064,161,0.00039711399141316965
Cacoal,Serviços,5400.303855,107757.66489956107,6146,0.0010534313492092562
Vilhena,Agropecuária,1750.124644,40878.74316234069,2367,0.0029616604527758664
Vilhena,Indústria,500.621144,11076.91629354269,716,0.00025102464552679296
Vilhena,Construção,75.0931716,1169.8306051542852,62,0.00025102464552679296
Vilhena,Serviços,3573.337598,73197.48263104321,3852,0.0006970470455206086
Rio Branco,Agropecuária,2094.101886,50487.170378275776,1340,0.0035437583037940213
Rio Branco,Indústria,977.1114220000001,16645.80415484248,1295,0.0004899494383875457
