codigo_regiao,nome_regiao
110001,Porto Velho
110002,Ariquemes
110003,Jaru
110004,Ji-ParanA
110005,Cacoal
110006,Vilhena
120001,Rio Branco
120002,BrasilAia
120003,Sena Madureira
120004,Cruzeiro do Sul
120005,TarauacA
130001,Manaus
130002,SAo Gabriel da Cachoeira
130003,Coari
130004,Manacapuru
130005,TefA
130006,Tabatinga
130007,EirunepA
130008,LAbrea
130009,ManicorA
130010,Parintins
130011,Itacoatiara
140001,Boa Vista
140002,Pacaraima
140003,RorainApolis
140004,CaracaraA
150001,BelAm
150002,CametA
150003,Abaetetuba
150004,Castanhal
150005,BraganAa
150006,Capanema
150007,Paragominas
150008,CapitAo PoAo
150009,MarabA
150010,Parauapebas
150011,TucuruA
150012,RedenAAo
150013,TucumA - SAo FAlix do Xingu
150014,Xinguara
150015,SantarAm
150016,Itaituba
150017,OriximinA
150018,Altamira
150019,Almeirim - Porto de Moz
150020,Breves
150021,Soure-Salvaterra
160001,MacapA
160002,Laranjal do Jari
160003,Oiapoque
160004,Porto Grande
170001,Palmas
170002,Porto Nacional
170003,ParaAso do Tocantins
170004,Miracema do Tocantins
170005,AraguaAna
170006,GuaraA
170007,Colinas do Tocantins
170008,TocantinApolis
170009,Araguatins
170010,Gurupi
170011,DianApolis
210001,SAo LuAs
210002,Pinheiro
210003,Chapadinha
210004,Itapecuru Mirim
210005,Viana
210006,Barreirinhas
210007,TutAia - Araioses
210008,Cururupu
210009,Santa InAs
210010,Bacabal
210011,Governador Nunes Freire
210012,Pedreiras
210013,Caxias
210014,Timon
210015,CodA
210016,Presidente Dutra
210017,SAo JoAo dos Patos
210018,Colinas
210019,Imperatriz
210020,Barra do Corda
210021,AAailAndia
210022,Balsas
220001,Teresina
220002,Amarante - Agua Branca - RegeneraAAo
220003,Campo Maior
220004,ValenAa do PiauA
220005,Barras
220006,ParnaAba
220007,Piripiri
220008,Esperantina
220009,Picos
220010,Paulistana
220011,Oeiras
220012,SimplAcio Mendes
220013,SAo Raimundo Nonato
220014,SAo JoAo do PiauA
220015,Corrente
220016,Bom Jesus
220017,Floriano
220018,UruAuA
220019,Canto do Buriti
230001,Fortaleza
230002,Itapipoca
230003,RedenAAo-Acarape
230004,CanindA
230005,ItapagA
230006,QuixadA
230007,Russas - Limoeiro do Norte
230008,Aracati
230009,Iguatu
230010,IcA
230011,Juazeiro do Norte
230012,Brejo Santo
230013,CrateAs
230014,TauA
230015,Sobral
230016,SAo Benedito - Ipu - Guaraciaba do Norte - TianguA
230017,AcaraA
230018,Camocim
240001,Natal
240002,Santo AntAnio - Passa e Fica - Nova Cruz
240003,Canguaretama
240004,Santa Cruz
240005,JoAo CAmara
240006,SAo Paulo do Potengi
240007,CaicA
240008,Currais Novos
240009,MossorA
240010,Pau dos Ferros
240011,AAu
250001,JoAo Pessoa
250002,Guarabira
250003,Mamanguape - Rio Tinto
250004,Itabaiana
250005,Campina Grande
250006,CuitA - Nova Floresta
250007,Monteiro
250008,SumA
250009,Patos
250010,Itaporanga
250011,CatolA do Rocha - SAo Bento
250012,Pombal
250013,Princesa Isabel
250014,Sousa
250015,Cajazeiras
260001,Recife
260002,Goiana a TimbaAba
260003,Palmares
260004,Limoeiro
260005,VitAria de Santo AntAo
260006,Carpina
260007,Barreiros - SirinhaAm
260008,Surubim
260018,Caruaru
260009,Garanhuns
260010,Arcoverde
260011,Belo Jardim a Pesqueira
260012,Serra Talhada
260013,Afogados da Ingazeira
260014,Petrolina
260015,Araripina
260016,Salgueiro
260017,Escada - RibeirAo
270001,MaceiA
270002,Porto Calvo - SAo LuAs do Quitunde
270003,Penedo
270004,SAo Miguel dos Campos
270005,UniAo dos Palmares
270006,Atalaia
270007,Arapiraca
270008,Palmeira dos Andios
270009,Delmiro Gouveia
270010,Santana do Ipanema
270011,PAo de AAAcar - Olho d'Agua das Flores a Batalha
280001,Aracaju
280002,EstAncia
280003,PropriA
250004,Itabaiana
280005,Lagarto
280006,Nossa Senhora da GlAria
290001,Salvador
290002,Alagoinhas
290003,Santo AntAnio de Jesus
290004,Cruz das Almas
290005,ValenAa
290006,NazarA a Maragogipe
290007,IlhAus a Itabuna
290008,Teixeira de Freitas
290009,EunApolis - Porto Seguro
290010,Camacan
290011,VitAria da Conquista
290012,JequiA
290013,Brumado
290014,IpiaA
290015,Itapetinga
290016,Guanambi
